"country","economic","military"
"Algeria",0.5,0.25
"Angola",2.40740740740741,0.407407407407407
"Argentina",1.11299435028249,0.508474576271186
"Australia",0.376237623762376,0.0891089108910891
"Austria",0.580645161290323,0.0591397849462366
"Belgium",0.284883720930233,0.133720930232558
"Bolivia, Plurinational State of",0.542372881355932,0.293785310734463
"Brazil",1.04519774011299,0.401129943502825
"Canada",0.155555555555556,0.133333333333333
"Central African Republic",1,0.0714285714285714
"Chile",1.09239130434783,0.407608695652174
"China",0.580645161290323,1.62365591397849
"Colombia",0.982352941176471,0.294117647058824
"Costa Rica",0.5,0.115853658536585
"Cote d'Ivoire",0.619047619047619,0.119047619047619
"Denmark",0.258064516129032,0.150537634408602
"Dominican Republic",0.550632911392405,0.132911392405063
"Ecuador",0.924418604651163,0.354651162790698
"Egypt",0.325,1.27160493827161
"El Salvador",0.37888198757764,0.118012422360248
"Finland",0.658823529411765,0.141176470588235
"France",0.5,1
"Germany",0.597122302158273,1.70503597122302
"Ghana",1.35714285714286,0.380952380952381
"Greece",1.09142857142857,0.64
"Guatemala",0.392638036809816,0.184049079754601
"Honduras",0.705521472392638,0.245398773006135
"Hungary",0.6,0.259259259259259
"India",0.711538461538462,2.10909090909091
"Indonesia",1.29824561403509,0.543859649122807
"Ireland",0.1625,0.05
"Italy",0.602836879432624,0.900709219858156
"Japan",0.510752688172043,1.1989247311828
"Kenya",1,0.435897435897436
"Korea",0.263157894736842,0.368421052631579
"Korea, Republic of",0.925925925925926,1.59259259259259
"Malaysia",0.422222222222222,0.355555555555556
"Mauritius",0.441176470588235,0
"Mexico",1.15555555555556,0.372222222222222
"Morocco",0.13986013986014,0.237762237762238
"Myanmar",0.481481481481481,0.611111111111111
"Netherlands",0.236559139784946,0.252688172043011
"New Zealand",0.248275862068966,0.0137931034482759
"Nicaragua",0.823170731707317,0.365853658536585
"Nigeria",1.11904761904762,0.380952380952381
"Norway",0.290322580645161,0.17741935483871
"Panama",0.333333333333333,0.191919191919192
"Paraguay",0.521505376344086,0.28494623655914
"Peru",1.05524861878453,0.513812154696133
"Philippines",0.940298507462687,0.328358208955224
"Poland",1.1547619047619,0.261904761904762
"Portugal",0.435483870967742,0.290322580645161
"Romania",0.706293706293706,0.20979020979021
"Russian Federation",0.895833333333333,2.49162011173184
"Singapore",0.302325581395349,0.0930232558139535
"South Africa",0.521739130434783,0.434782608695652
"Spain",0.720430107526882,0.543010752688172
"Sri Lanka",0.333333333333333,0.0925925925925926
"Sweden",0.263440860215054,0.220430107526882
"Switzerland",0.214285714285714,0.0779220779220779
"Taiwan, Province of China",0.28,1.2
"Thailand",0.295698924731183,0.543010752688172
"Tunisia",0.325581395348837,0.244444444444444
"Turkey",0.666666666666667,1.1989247311828
"United Kingdom",0.397849462365591,1.53763440860215
"United States",0.698924731182796,2.03763440860215
"Uruguay",0.895348837209302,0.0581395348837209
"Venezuela, Bolivarian Republic of",0.732558139534884,0.273255813953488
"Zambia",1.31578947368421,1.02631578947368
"Zimbabwe",1.78125,0.857142857142857
