"year","Economic","Military"
1816,7,2
1817,4,6
1818,1,2
1819,5,0
1820,6,0
1821,4,5
1822,3,6
1823,1,4
1824,3,4
1825,5,5
1826,5,6
1827,10,8
1828,15,10
1829,13,4
1830,9,2
1831,10,8
1832,10,6
1833,14,14
1834,10,2
1835,8,2
1836,10,8
1837,16,6
1838,17,8
1839,19,8
1840,16,11
1841,15,4
1842,15,12
1843,12,8
1844,12,4
1845,13,8
1846,15,14
1847,17,5
1848,14,10
1849,10,12
1850,15,14
1851,13,8
1852,12,12
1853,12,4
1854,17,13
1855,12,10
1856,16,16
1857,15,16
1858,9,16
1859,10,12
1860,11,19
1861,9,17
1862,12,18
1863,13,20
1864,13,23
1865,11,17
1866,15,23
1867,13,4
1868,11,6
1869,7,8
1870,10,10
1871,7,12
1872,9,10
1873,15,10
1874,13,4
1875,14,10
1876,20,19
1877,20,11
1878,18,16
1879,16,6
1880,17,10
1881,15,12
1882,16,12
1883,17,13
1884,15,10
1885,17,22
1886,9,19
1887,7,18
1888,8,14
1889,8,10
1890,17,8
1891,22,16
1892,15,4
1893,19,10
1894,16,8
1895,9,18
1896,8,23
1897,12,40
1898,13,28
1899,8,8
1900,12,33
1901,13,14
1902,9,18
1903,11,20
1904,10,15
1905,8,21
1906,10,10
1907,20,14
1908,15,16
1909,8,16
1910,10,18
1911,12,39
1912,11,25
1913,11,23
1914,29,53
1915,25,48
1916,23,63
1917,30,60
1918,40,86
1919,36,70
1920,52,54
1921,48,50
1922,32,36
1923,34,24
1924,29,4
1925,19,12
1926,19,17
1927,8,22
1928,14,16
1929,33,8
1930,38,6
1931,68,12
1932,60,26
1933,47,22
1934,37,36
1935,41,26
1936,40,26
1937,47,36
1938,48,34
1939,52,86
1940,46,142
1941,40,82
1942,44,76
1943,45,64
1944,40,44
1945,46,54
1946,61,18
1947,59,12
1948,53,36
1949,48,52
1950,40,44
1951,35,44
1952,27,50
1953,22,52
1954,25,60
1955,20,74
1956,23,68
1957,33,46
1958,34,102
1959,25,98
1960,20,80
1961,19,84
1962,30,78
1963,30,80
1964,31,86
1965,36,106
1966,31,96
1967,36,90
1968,18,64
1969,20,87
1970,25,48
1971,32,66
1972,19,45
1973,41,64
1974,61,66
1975,45,80
1976,47,79
1977,49,85
1978,36,77
1979,48,78
1980,57,96
1981,74,78
1982,85,98
1983,92,97
1984,97,117
1985,85,115
1986,86,125
1987,87,157
1988,87,96
1989,98,47
1990,114,28
1991,103,44
1992,102,70
1993,88,118
1994,96,127
1995,101,119
1996,76,109
1997,79,107
1998,80,72
1999,67,114
2000,75,179
2001,78,92
