"Drivers","Front","Rear","time"
1687,867,269,"January 1969"
1508,825,265,"February 1969"
1507,806,319,"March 1969"
1385,814,407,"April 1969"
1632,991,454,"May 1969"
1511,945,427,"June 1969"
1559,1004,522,"July 1969"
1630,1091,536,"August 1969"
1579,958,405,"September 1969"
1653,850,437,"October 1969"
2152,1109,434,"November 1969"
2148,1113,437,"December 1969"
1752,925,316,"January 1970"
1765,903,311,"February 1970"
1717,1006,351,"March 1970"
1558,892,362,"April 1970"
1575,990,486,"May 1970"
1520,866,429,"June 1970"
1805,1095,551,"July 1970"
1800,1204,646,"August 1970"
1719,1029,456,"September 1970"
2008,1147,475,"October 1970"
2242,1171,456,"November 1970"
2478,1299,468,"December 1970"
2030,944,356,"January 1971"
1655,874,271,"February 1971"
1693,840,354,"March 1971"
1623,893,427,"April 1971"
1805,1007,465,"May 1971"
1746,973,440,"June 1971"
1795,1097,539,"July 1971"
1926,1194,646,"August 1971"
1619,988,457,"September 1971"
1992,1077,446,"October 1971"
2233,1045,402,"November 1971"
2192,1115,441,"December 1971"
2080,1005,359,"January 1972"
1768,857,334,"February 1972"
1835,879,312,"March 1972"
1569,887,427,"April 1972"
1976,1075,434,"May 1972"
1853,1121,486,"June 1972"
1965,1190,569,"July 1972"
1689,1058,523,"August 1972"
1778,939,418,"September 1972"
1976,1074,452,"October 1972"
2397,1089,462,"November 1972"
2654,1208,497,"December 1972"
2097,903,354,"January 1973"
1963,916,347,"February 1973"
1677,787,276,"March 1973"
1941,1114,472,"April 1973"
2003,1014,487,"May 1973"
1813,1022,505,"June 1973"
2012,1114,619,"July 1973"
1912,1132,640,"August 1973"
2084,1111,559,"September 1973"
2080,1008,453,"October 1973"
2118,916,418,"November 1973"
2150,992,419,"December 1973"
1608,731,262,"January 1974"
1503,665,299,"February 1974"
1548,724,303,"March 1974"
1382,744,401,"April 1974"
1731,910,413,"May 1974"
1798,883,426,"June 1974"
1779,900,516,"July 1974"
1887,1057,600,"August 1974"
2004,1076,459,"September 1974"
2077,919,443,"October 1974"
2092,920,412,"November 1974"
2051,953,400,"December 1974"
1577,664,278,"January 1975"
1356,607,302,"February 1975"
1652,777,381,"March 1975"
1382,633,279,"April 1975"
1519,791,442,"May 1975"
1421,790,409,"June 1975"
1442,803,416,"July 1975"
1543,884,511,"August 1975"
1656,769,393,"September 1975"
1561,732,345,"October 1975"
1905,859,391,"November 1975"
2199,994,470,"December 1975"
1473,704,266,"January 1976"
1655,684,312,"February 1976"
1407,671,300,"March 1976"
1395,643,373,"April 1976"
1530,771,412,"May 1976"
1309,644,322,"June 1976"
1526,828,458,"July 1976"
1327,748,427,"August 1976"
1627,767,346,"September 1976"
1748,825,421,"October 1976"
1958,810,344,"November 1976"
2274,986,370,"December 1976"
1648,714,291,"January 1977"
1401,567,224,"February 1977"
1411,616,266,"March 1977"
1403,678,338,"April 1977"
1394,742,298,"May 1977"
1520,840,386,"June 1977"
1528,888,479,"July 1977"
1643,852,473,"August 1977"
1515,774,332,"September 1977"
1685,831,391,"October 1977"
2000,889,370,"November 1977"
2215,1046,431,"December 1977"
1956,889,366,"January 1978"
1462,626,250,"February 1978"
1563,808,355,"March 1978"
1459,746,304,"April 1978"
1446,754,379,"May 1978"
1622,865,440,"June 1978"
1657,980,500,"July 1978"
1638,959,511,"August 1978"
1643,856,384,"September 1978"
1683,798,366,"October 1978"
2050,942,432,"November 1978"
2262,1010,390,"December 1978"
1813,796,306,"January 1979"
1445,643,232,"February 1979"
1762,794,342,"March 1979"
1461,750,329,"April 1979"
1556,809,394,"May 1979"
1431,716,355,"June 1979"
1427,851,385,"July 1979"
1554,931,463,"August 1979"
1645,834,453,"September 1979"
1653,762,373,"October 1979"
2016,880,401,"November 1979"
2207,1077,466,"December 1979"
1665,748,306,"January 1980"
1361,593,263,"February 1980"
1506,720,323,"March 1980"
1360,646,310,"April 1980"
1453,765,424,"May 1980"
1522,820,403,"June 1980"
1460,807,406,"July 1980"
1552,885,466,"August 1980"
1548,803,381,"September 1980"
1827,860,369,"October 1980"
1737,825,378,"November 1980"
1941,911,392,"December 1980"
1474,704,284,"January 1981"
1458,691,316,"February 1981"
1542,688,321,"March 1981"
1404,714,358,"April 1981"
1522,814,378,"May 1981"
1385,736,382,"June 1981"
1641,876,433,"July 1981"
1510,829,506,"August 1981"
1681,818,428,"September 1981"
1938,942,479,"October 1981"
1868,782,370,"November 1981"
1726,823,349,"December 1981"
1456,595,238,"January 1982"
1445,673,285,"February 1982"
1456,660,324,"March 1982"
1365,676,346,"April 1982"
1487,755,410,"May 1982"
1558,815,411,"June 1982"
1488,867,496,"July 1982"
1684,933,534,"August 1982"
1594,798,396,"September 1982"
1850,950,470,"October 1982"
1998,825,385,"November 1982"
2079,911,411,"December 1982"
1494,619,281,"January 1983"
1057,426,300,"February 1983"
1218,475,318,"March 1983"
1168,556,391,"April 1983"
1236,559,398,"May 1983"
1076,483,337,"June 1983"
1174,587,477,"July 1983"
1139,615,422,"August 1983"
1427,618,495,"September 1983"
1487,662,471,"October 1983"
1483,519,368,"November 1983"
1513,585,345,"December 1983"
1357,483,296,"January 1984"
1165,434,319,"February 1984"
1282,513,349,"March 1984"
1110,548,375,"April 1984"
1297,586,441,"May 1984"
1185,522,465,"June 1984"
1222,601,472,"July 1984"
1284,644,521,"August 1984"
1444,643,429,"September 1984"
1575,641,408,"October 1984"
1737,711,490,"November 1984"
1763,721,491,"December 1984"
